x(degrees)	y(eV)	Time_TS1(UTC)	Time_TS2(UTC)	ch_4(ordinal)
-81.0423551359485	623.52	2026-03-02T14:48:32.651Z	2026-03-02T14:48:32.651Z	ROI_03310_1
-80.63491943921538	348.19	2026-03-02T14:48:21.806Z	2026-03-02T14:48:21.806Z	ROI_03310_1
-80.3904580211755	143.29	2026-03-02T14:48:15.785Z	2026-03-02T14:48:15.785Z	ROI_03310_1
-80.30897088182888	69.654	2026-03-02T14:48:13.778Z	2026-03-02T14:48:13.778Z	ROI_03310_1
-80.08488124862568	49.929	2026-03-02T14:48:08.310Z	2026-03-02T14:48:08.310Z	ROI_03310_1
-80.02376589411571	131.85	2026-03-02T14:48:06.911Z	2026-03-02T14:48:06.911Z	ROI_03310_1
-79.73856090640253	89.411	2026-03-02T14:48:00.379Z	2026-03-02T14:48:00.379Z	ROI_03310_1
-79.31075342483275	57.359	2026-03-02T14:47:50.774Z	2026-03-02T14:47:50.774Z	ROI_03310_1
-78.80145880391636	82.270	2026-03-02T14:47:39.766Z	2026-03-02T14:47:39.766Z	ROI_03310_1
-78.25142061332666	189.11	2026-03-02T14:47:28.368Z	2026-03-02T14:47:28.368Z	ROI_03310_1
-77.88472848626685	329.39	2026-03-02T14:47:20.903Z	2026-03-02T14:47:20.903Z	ROI_03310_1
-77.57915171371701	217.26	2026-03-02T14:47:14.808Z	2026-03-02T14:47:14.808Z	ROI_03310_1
-77.41617743502377	111.63	2026-03-02T14:47:11.557Z	2026-03-02T14:47:11.557Z	ROI_03310_1
-77.27357494116717	82.270	2026-03-02T14:47:08.720Z	2026-03-02T14:47:08.720Z	ROI_03310_1
-77.11060066247393	67.748	2026-03-02T14:47:05.562Z	2026-03-02T14:47:05.562Z	ROI_03310_1
-76.58093425672088	62.337	2026-03-02T14:46:55.297Z	2026-03-02T14:46:55.297Z	ROI_03310_1
-76.41795997802762	55.789	2026-03-02T14:46:52.183Z	2026-03-02T14:46:52.183Z	ROI_03310_1
-76.07163963580449	44.684	2026-03-02T14:46:45.633Z	2026-03-02T14:46:45.633Z	ROI_03310_1
-76.01052428129452	41.116	2026-03-02T14:46:44.476Z	2026-03-02T14:46:44.476Z	ROI_03310_1
-75.72531929358134	24.270	2026-03-02T14:46:39.082Z	2026-03-02T14:46:39.082Z	ROI_03310_1
-74.5844993427286	21.720	2026-03-02T14:46:17.998Z	2026-03-02T14:46:17.998Z	ROI_03310_1
-73.72888437958906	20.548	2026-03-02T14:46:02.461Z	2026-03-02T14:46:02.461Z	ROI_03310_1
-72.4658337197164	21.126	2026-03-02T14:45:39.870Z	2026-03-02T14:45:39.870Z	ROI_03310_1
-72.13988516232992	21.720	2026-03-02T14:45:34.110Z	2026-03-02T14:45:34.110Z	ROI_03310_1
